filename,polarity,subjectivity
bad_sentiment.txt,-0.2916666666666667,0.4749999999999999
cnn_obama.txt,0.06238809144072301,0.38230143540669864
cnn_trump.txt,0.11123749499799925,0.3553574763238628
drudge_trump.txt,0.15661729822688727,0.4029176303148906
files.txt,0.0,0.0
fox_obama.txt,0.0846031746031746,0.33803130511463847
fox_trump.txt,0.08904179154179155,0.37392135642135643
good_sentiment.txt,0.7380681818181818,0.6863636363636363
npr_obama.txt,0.09267059694691276,0.4146559580770109
npr_trump.txt,0.013263746487430698,0.3380294960887065
nyt_obama.txt,0.09459487183723829,0.3809852890959761
nyt_trump.txt,0.10231354016354018,0.36191697931697947
wapo_obama.txt,0.11191431117901705,0.3942453951277481
wapo_trump.txt,0.09249030849030845,0.37076545376545383
